CUST_ID,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,0.083333,0,0,2,1000,201.802084,139.509787,0,12
C10002,0,0.25,4,0,7000,4103.032597,1072.340217,0.222222,12
C10003,0,0,0,12,7500,622.066742,627.284787,0,12
C10004,0,0.083333,1,1,7500,0,,0,12
C10005,0,0,0,1,1200,678.334763,244.791237,0,12
C10006,0.583333,0,0,8,1800,1400.05777,2407.246035,0,12
C10007,1,0,0,64,13500,6354.314328,198.065894,1,12
C10008,1,0,0,12,2300,679.065082,532.03399,0,12
C10009,0.25,0,0,5,7000,688.278568,311.963409,0,12
C10010,0,0,0,3,11000,1164.770591,100.302262,0,12
C10011,1,0,0,12,1200,1083.301007,2172.697765,0,12
C10012,0,0,0,6,2000,705.618627,155.549069,0,12
C10013,0.916667,0,0,26,3000,608.263689,490.207013,0.25,12
C10014,0.75,0,0,26,7500,1655.891435,251.137986,0.083333,12
C10015,0,0.083333,1,0,3000,805.647974,989.962866,0,12
C10016,0.5,0.166667,4,11,8000,1993.439277,2109.90649,0,12
C10017,0,0.25,3,0,3000,391.974562,376.579631,0,8
C10018,0.333333,0,0,8,2500,254.590662,73.203221,0.25,12
C10019,0.583333,0,0,9,13000,1720.837373,744.613395,0,12
C10020,1,0,0,12,4000,1053.980464,12465.54938,0,12
C10021,0.666667,0,0,8,2000,223.0686,13557.29726,0,12
C10022,1,0.333333,6,92,11250,2077.959051,1659.775075,0,12
C10023,1,0,0,17,1800,2359.629958,86.329554,0,12
C10024,0.916667,0.333333,13,13,9000,9479.043842,1425.426525,0,12
C10025,0,0.363636,4,0,6000,1422.726707,1657.002877,0,11
C10026,1,0,0,12,3000,215.306142,163.005536,0,12
C10027,0,0.25,5,2,1700,890.178845,971.183209,0,12
C10028,1,0,0,12,1000,207.773715,164.748819,0,12
C10029,0.416667,0.833333,16,8,10500,1601.448347,1648.851345,0,12
C10030,0.416667,0,0,5,6900,160.767773,159.684442,0,12
