CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,40.90075,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.80208,139.50978,0.0,12.0
C10002,3202.4675,0.909091,0.0,0.0,0.0,6442.9453,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.0327,1072.3402,0.222222,12.0
C10003,2495.149,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.0668,627.2848,0.0,12.0
C10004,1666.6705,0.636364,1499.0,1499.0,0.0,205.78801,0.083333,0.083333,0.0,0.083333,1.0,1.0,7500.0,0.0,,0.0,12.0
C10005,817.71436,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1200.0,678.3348,244.79124,0.0,12.0
C10006,1809.8287,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.0577,2407.246,0.0,12.0
C10007,627.2608,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0.0,64.0,13500.0,6354.3145,198.06589,1.0,12.0
C10008,1823.6527,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.06506,532.034,0.0,12.0
C10009,1014.92645,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.27856,311.9634,0.0,12.0
C10010,152.22597,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.7706,100.30226,0.0,12.0
C10011,1293.125,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,1083.301,2172.6978,0.0,12.0
C10012,630.79474,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,2000.0,705.61865,155.54907,0.0,12.0
C10013,1516.9286,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0.0,26.0,3000.0,608.2637,490.207,0.25,12.0
C10014,921.69336,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0.0,26.0,7500.0,1655.8915,251.13799,0.083333,12.0
C10015,2772.7727,1.0,0.0,0.0,0.0,346.8114,0.0,0.0,0.0,0.083333,1.0,0.0,3000.0,805.64795,989.9629,0.0,12.0
C10016,6886.2134,1.0,1611.7,0.0,1611.7,2301.4912,0.5,0.0,0.5,0.166667,4.0,11.0,8000.0,1993.4393,2109.9065,0.0,12.0
C10017,2072.0745,0.875,0.0,0.0,0.0,2784.2747,0.0,0.0,0.0,0.25,3.0,0.0,3000.0,391.97455,376.57962,0.0,8.0
C10018,41.08949,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0.0,8.0,2500.0,254.59067,73.203224,0.25,12.0
C10019,1989.0723,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0.0,9.0,13000.0,1720.8374,744.6134,0.0,12.0
C10020,3577.971,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0.0,12.0,4000.0,1053.9805,12465.55,0.0,12.0
C10021,2016.6847,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,2000.0,223.0686,13557.297,0.0,12.0
C10022,6369.5312,1.0,6359.95,5910.04,449.91,229.02824,1.0,0.916667,1.0,0.333333,6.0,92.0,11250.0,2077.959,1659.775,0.0,12.0
C10023,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0.0,17.0,1800.0,2359.63,86.32955,0.0,12.0
C10024,3800.1514,0.818182,4248.35,3454.56,793.79,7974.4155,1.0,0.083333,0.916667,0.333333,13.0,13.0,9000.0,9479.044,1425.4265,0.0,12.0
C10025,5368.5713,1.0,0.0,0.0,0.0,798.9499,0.0,0.0,0.0,0.363636,4.0,0.0,6000.0,1422.7267,1657.0029,0.0,11.0
C10026,169.78168,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0.0,12.0,3000.0,215.30614,163.00554,0.0,12.0
C10027,1615.9673,1.0,102.0,102.0,0.0,244.84048,0.166667,0.166667,0.0,0.25,5.0,2.0,1700.0,890.17883,971.1832,0.0,12.0
C10028,125.69482,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,207.77371,164.74883,0.0,12.0
C10029,7152.8643,1.0,387.05,204.55,182.5,2236.1453,0.666667,0.166667,0.416667,0.833333,16.0,8.0,10500.0,1601.4484,1648.8513,0.0,12.0
C10030,22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0.0,5.0,6900.0,160.76778,159.68445,0.0,12.0
C10031,12136.22,1.0,3038.01,1013.2,2024.81,3183.5833,1.0,0.166667,1.0,0.5,10.0,64.0,13000.0,4230.3237,3292.0151,0.0,12.0
C10032,1162.2733,1.0,1347.71,400.0,947.71,175.81575,1.0,0.083333,1.0,0.166667,2.0,45.0,6000.0,645.9983,256.849,0.0,12.0
C10033,6732.823,1.0,324.95,324.95,0.0,1189.5338,0.083333,0.083333,0.0,0.166667,3.0,3.0,10500.0,1720.1189,2506.7454,0.0,12.0
C10034,125.66045,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0.0,11.0,1200.0,423.4497,196.30188,0.3,12.0
C10035,3517.1016,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0.0,14.0,11000.0,8735.607,17862.559,0.0,12.0
C10036,1656.3508,1.0,0.0,0.0,0.0,99.264366,0.0,0.0,0.0,0.083333,1.0,0.0,1800.0,351.5002,634.56934,0.0,12.0
C10037,7427.077,1.0,0.0,0.0,0.0,8873.375,0.0,0.0,0.0,0.727273,11.0,0.0,9000.0,1636.3616,1986.8436,0.0,11.0
C10038,4047.4807,1.0,2380.55,1642.17,738.38,1697.6609,0.75,0.5,0.75,0.333333,7.0,41.0,5000.0,1617.8944,1541.1416,0.0,12.0
C10039,6269.418,1.0,204.0,204.0,0.0,2925.7,0.083333,0.083333,0.0,0.333333,12.0,2.0,9000.0,1237.1117,2049.409,0.0,12.0
